Time Scale,FM01TS,FM02TS,FM03TS,FM04TS,FM05TS,PC01TS,PC02TS,PC03TS,PT01TS,PT02TS,PT03TS,PT04TS,PT05TS,PT06TS,ST01TS,TC01TS,TC02TS,TC03TS,TT01TS
08-29-2009 : 12:24:41.953 PM,17.760818,19.400906,56.008533,355.652771,25.254723,13.231708,14.372765,15.241130,5171.971680,5594.110352,4369.035156,2546.403320,2632.888184,647.389648,203.207352,75.401016,76.429886,76.932541,0.000000
08-29-2009 : 12:24:41.957 PM,17.944300,19.776438,56.419579,355.287903,25.228483,13.400244,14.518826,15.663861,5252.958496,5605.889648,4307.151855,2490.429443,2849.713867,6.259571,204.760681,75.459953,76.586227,77.122284,0.000000
08-29-2009 : 12:24:41.961 PM,17.446096,19.833736,56.330448,359.074310,25.050186,13.475551,14.628765,15.477621,5126.874512,5608.167969,4304.476074,584.306030,437.012177,3113.062988,204.899643,75.367462,76.390594,77.036865,0.000000
08-29-2009 : 12:24:41.965 PM,17.532703,19.804531,56.132957,358.564880,25.458685,13.211187,14.320798,15.475161,5156.320312,5629.247559,4459.141113,3837.209473,3003.530029,3608.485596,200.707794,75.473335,76.629189,76.996925,0.000000
08-29-2009 : 12:24:41.969 PM,17.582275,20.087437,56.231495,353.516144,25.431999,13.631586,14.636009,15.691517,5234.813965,5651.537598,4270.518066,3178.133301,1158.453979,2880.310547,202.170975,75.635735,76.622726,77.132256,0.000000
08-29-2009 : 12:24:41.973 PM,17.588232,20.111588,55.991203,359.470123,25.379972,13.565645,14.703845,15.478859,5240.433594,5572.257324,4451.364258,1455.590576,866.819031,177.483643,202.697800,75.422325,76.450363,76.926422,0.000000
08-29-2009 : 12:24:41.977 PM,17.837442,20.023005,55.978653,361.289093,25.178003,13.880005,14.822409,15.637598,5208.944336,5685.038574,4507.083008,2760.787354,1393.672119,478.322113,205.245148,75.480087,76.526657,76.989731,0.000000
08-29-2009 : 12:24:41.981 PM,18.175398,20.098314,56.343338,365.099976,25.680901,13.537029,14.595176,15.645642,5286.028809,5671.818848,4479.399414,3268.164551,418.252991,3723.189941,206.236603,75.575729,76.544601,77.143562,0.000000
08-29-2009 : 12:24:41.985 PM,17.798002,20.235056,56.648075,368.011810,25.533480,13.568204,14.692965,15.560317,5299.121582,5634.887695,4370.191406,725.027893,1248.178223,2752.583496,205.756073,75.456841,76.517387,77.110130,0.000000
08-29-2009 : 12:24:41.989 PM,17.623388,20.369341,56.954117,365.332245,25.631302,13.837401,14.651239,15.763147,5246.437500,5666.815918,4454.032715,1020.195496,1882.168335,2565.892090,205.815033,75.489677,76.398125,77.102791,0.000000
08-29-2009 : 12:24:41.993 PM,17.698912,19.945009,56.726841,363.787384,25.946552,13.825356,14.770339,15.754676,5299.210937,5670.980469,4432.454590,3762.028809,1773.045166,1466.537354,205.491562,75.504021,76.508568,76.988464,0.000000
08-29-2009 : 12:24:41.997 PM,17.861309,20.001160,56.673523,366.498627,26.116644,13.880547,15.033592,15.947050,5321.256836,5681.416504,4439.602051,1186.682983,842.924438,3610.007568,203.587143,75.377777,76.566780,77.008949,0.000000
